,Player,Pos,Year,Tm
6,Ben Utecht,TE,2007,IND
1,David Garrard,QB,2007,JAX
2,Fred Taylor,RB,2007,JAX
3,Greg Jones,FB,2007,JAX
4,Dennis Northcutt,WR,2007,JAX
5,Ernest Wilford,WR,2007,JAX
6,Marcedes Lewis,TE,2007,JAX
1,Damon Huard,QB,2007,KAN
2,Larry Johnson,RB,2007,KAN
3,Kris Wilson,FB,2007,KAN
4,Dwayne Bowe,WR,2007,KAN
5,Eddie Kennison,WR,2007,KAN
6,Tony Gonzalez,TE,2007,KAN
1,Josh McCown,QB,2007,LVR
2,Justin Fargas,RB,2007,LVR
3,Justin Griffith,FB,2007,LVR
4,Ronald Curry,WR,2007,LVR
5,Jerry Porter,WR,2007,LVR
6,Zach Miller,TE,2007,LVR
1,Philip Rivers,QB,2007,LAC
2,LaDainian Tomlinson,RB,2007,LAC
3,Lorenzo Neal,FB,2007,LAC
4,Vincent Jackson,WR,2007,LAC
5,Antonio Gates,TE,2007,LAC
6,Brandon Manumaleuna,TE,2007,LAC
1,Marc Bulger,QB,2007,LAR
2,Steven Jackson,RB,2007,LAR
3,Isaac Bruce,WR,2007,LAR
4,Torry Holt,WR,2007,LAR
5,Joe Klopfenstein,TE,2007,LAR
6,Randy McMichael,TE,2007,LAR
1,Cleo Lemon,QB,2007,MIA
2,Ronnie Brown,RB,2007,MIA
3,Reagan Mauia,FB,2007,MIA
4,Marty Booker,WR,2007,MIA
5,Ted Ginn ,WR,2007,MIA
6,David Martin,TE,2007,MIA
1,Tarvaris Jackson,QB,2007,MIN
2,Adrian Peterson,RB,2007,MIN
3,Robert Ferguson,WR,2007,MIN
4,Bobby Wade,WR,2007,MIN
5,Jim Kleinsasser,TE,2007,MIN
6,Visanthe Shiancoe,TE,2007,MIN
1,Tom Brady,QB,2007,NWE
2,Kevin Faulk,RB,2007,NWE
3,Randy Moss,WR,2007,NWE
4,Wes Welker,WR,2007,NWE
5,Kyle Brady,TE,2007,NWE
6,Ben Watson,TE,2007,NWE
1,Drew Brees,QB,2007,NOR
2,Reggie Bush,RB,2007,NOR
3,Mike Karney,FB,2007,NOR
4,Marques Colston,WR,2007,NOR
5,Devery Henderson,WR,2007,NOR
6,Eric Johnson,TE,2007,NOR
1,Eli Manning,QB,2007,NYG
2,Brandon Jacobs,RB,2007,NYG
3,Madison Hedgecock,FB,2007,NYG
4,Plaxico Burress,WR,2007,NYG
5,Amani Toomer,WR,2007,NYG
6,Jeremy Shockey,TE,2007,NYG
1,Kellen Clemens,QB,2007,NYJ
2,Thomas Jones,RB,2007,NYJ
3,Laveranues Coles,WR,2007,NYJ
4,Jerricho Cotchery,WR,2007,NYJ
5,Brad Smith,WR,2007,NYJ
6,Chris Baker,TE,2007,NYJ
1,Donovan McNabb,QB,2007,PHI
2,Brian Westbrook,RB,2007,PHI
3,Thomas Tapeh,FB,2007,PHI
4,Reggie Brown,WR,2007,PHI
5,Kevin Curtis,WR,2007,PHI
6,LJ Smith,TE,2007,PHI
1,Ben Roethlisberger,QB,2007,PIT
2,Willie Parker,RB,2007,PIT
3,Carey Davis,FB,2007,PIT
4,Santonio Holmes,WR,2007,PIT
5,Hines Ward,WR,2007,PIT
6,Heath Miller,TE,2007,PIT
1,Alex Smith,QB,2007,SFO
2,Frank Gore,RB,2007,SFO
3,Arnaz Battle,WR,2007,SFO
4,Darrell Jackson,WR,2007,SFO
5,Vernon Davis,TE,2007,SFO
6,Delanie Walker,TE,2007,SFO
1,Matt Hasselbeck,QB,2007,SEA
2,Shaun Alexander,RB,2007,SEA
3,Deion Branch,WR,2007,SEA
4,Nate Burleson,WR,2007,SEA
5,Bobby Engram,WR,2007,SEA
6,Marcus Pollard,TE,2007,SEA
1,Jeff Garcia,QB,2007,TAM
2,Earnest Graham,RB,2007,TAM
3,BJ Askew,FB,2007,TAM
4,Joey Galloway,WR,2007,TAM
5,Ike Hilliard,WR,2007,TAM
6,Alex Smith,TE,2007,TAM
1,Vince Young,QB,2007,TEN
2,LenDale White,RB,2007,TEN
3,Eric Moulds,WR,2007,TEN
4,Roydell Williams,WR,2007,TEN
5,Ben Hartsock,TE,2007,TEN
6,Bo Scaife,TE,2007,TEN
1,Jason Campbell,QB,2007,WAS
2,Clinton Portis,RB,2007,WAS
3,Mike Sellers,FB,2007,WAS
4,Santana Moss,WR,2007,WAS
5,Antwaan Randle El,WR,2007,WAS
6,Chris Cooley,TE,2007,WAS
1,Kurt Warner,QB,2008,ARI
2,Edgerrin James,RB,2008,ARI
3,Anquan Boldin,WR,2008,ARI
4,Steve Breaston,WR,2008,ARI
5,Larry Fitzgerald,WR,2008,ARI
6,Leonard Pope,TE,2008,ARI
1,Matt Ryan,QB,2008,ATL
2,Michael Turner,RB,2008,ATL
3,Ovie Mughelli,FB,2008,ATL
4,Michael Jenkins,WR,2008,ATL
5,Roddy White,WR,2008,ATL
6,Ben Hartsock,TE,2008,ATL
1,Joe Flacco,QB,2008,BAL
2,Willis McGahee,RB,2008,BAL
3,LeRon McClain,FB,2008,BAL
4,Mark Clayton,WR,2008,BAL
5,Derrick Mason,WR,2008,BAL
6,Todd Heap,TE,2008,BAL
1,Trent Edwards,QB,2008,BUF
2,Marshawn Lynch,RB,2008,BUF
3,Lee Evans,WR,2008,BUF
4,Josh Reed,WR,2008,BUF
5,Robert Royal,TE,2008,BUF
6,Derek Schouman,TE,2008,BUF
1,Jake Delhomme,QB,2008,CAR
2,DeAngelo Williams,RB,2008,CAR
3,Brad Hoover,FB,2008,CAR
4,Muhsin Muhammad,WR,2008,CAR
5,Steve Smith ,WR,2008,CAR
6,Jeff King,TE,2008,CAR
1,Kyle Orton,QB,2008,CHI
2,Matt Forte,RB,2008,CHI
3,Jason McKie,FB,2008,CHI
4,Rashied Davis,WR,2008,CHI
5,Devin Hester,WR,2008,CHI
6,Desmond Clark,TE,2008,CHI
1,Ryan Fitzpatrick,QB,2008,CIN
2,Cedric Benson,RB,2008,CIN
3,TJ Houshmandzadeh,WR,2008,CIN
4,Chad Johnson,WR,2008,CIN
5,Reggie Kelly,TE,2008,CIN
6,Ben Utecht,TE,2008,CIN
1,Derek Anderson,QB,2008,CLE
2,Jamal Lewis,RB,2008,CLE
3,Lawrence Vickers,FB,2008,CLE
4,Braylon Edwards,WR,2008,CLE
5,Donte Stallworth,WR,2008,CLE
6,Steve Heiden,TE,2008,CLE
1,Tony Romo,QB,2008,DAL
2,Marion Barber III,RB,2008,DAL
3,Patrick Crayton,WR,2008,DAL
4,Terrell Owens,WR,2008,DAL
5,Martellus Bennett,TE,2008,DAL
6,Jason Witten,TE,2008,DAL
1,Jay Cutler,QB,2008,DEN
2,Peyton Hillis,RB,2008,DEN
3,Brandon Marshall,WR,2008,DEN
4,Eddie Royal,WR,2008,DEN
5,Daniel Graham,TE,2008,DEN
6,Tony Scheffler,TE,2008,DEN
1,Dan Orlovsky,QB,2008,DET
2,Kevin Smith,RB,2008,DET
3,Moran Norris,FB,2008,DET
4,Calvin Johnson,WR,2008,DET
5,Shaun McDonald,WR,2008,DET
6,John Owens,TE,2008,DET
1,Aaron Rodgers,QB,2008,GNB
2,Ryan Grant,RB,2008,GNB
3,Donald Driver,WR,2008,GNB
4,Greg Jennings,WR,2008,GNB
5,Tory Humphrey,TE,2008,GNB
6,Donald Lee,TE,2008,GNB
1,Peyton Manning,QB,2008,IND
2,Joseph Addai,RB,2008,IND
3,Marvin Harrison,WR,2008,IND
4,Reggie Wayne,WR,2008,IND
5,Dallas Clark,TE,2008,IND
6,Gijon Robinson,TE,2008,IND
1,David Garrard,QB,2008,JAX
2,Fred Taylor,RB,2008,JAX
3,Greg Jones,FB,2008,JAX
4,Matt Jones,WR,2008,JAX
5,Reggie Williams,WR,2008,JAX
6,Marcedes Lewis,TE,2008,JAX
1,Tyler Thigpen,QB,2008,KAN
2,Larry Johnson,RB,2008,KAN
3,Dwayne Bowe,WR,2008,KAN
4,Devard Darling,WR,2008,KAN
5,Brad Cottam,TE,2008,KAN
6,Tony Gonzalez,TE,2008,KAN
1,JaMarcus Russell,QB,2008,LVR
2,Justin Fargas,RB,2008,LVR
3,Luke Lawton,FB,2008,LVR
4,Ronald Curry,WR,2008,LVR
5,Javon Walker,WR,2008,LVR
6,Zach Miller,TE,2008,LVR
1,Philip Rivers,QB,2008,LAC
2,LaDainian Tomlinson,RB,2008,LAC
3,Chris Chambers,WR,2008,LAC
4,Vincent Jackson,WR,2008,LAC
5,Antonio Gates,TE,2008,LAC
6,Brandon Manumaleuna,TE,2008,LAC
1,Marc Bulger,QB,2008,LAR
2,Steven Jackson,RB,2008,LAR
3,Donnie Avery,WR,2008,LAR
4,Torry Holt,WR,2008,LAR
5,Anthony Becht,TE,2008,LAR
6,Joe Klopfenstein,TE,2008,LAR
1,Chad Pennington,QB,2008,MIA
2,Ronnie Brown,RB,2008,MIA
3,Greg Camarillo,WR,2008,MIA
4,Ted Ginn ,WR,2008,MIA
5,Anthony Fasano,TE,2008,MIA
6,David Martin,TE,2008,MIA
1,Gus Frerotte,QB,2008,MIN
2,Adrian Peterson,RB,2008,MIN
3,Bernard Berrian,WR,2008,MIN
4,Bobby Wade,WR,2008,MIN
5,Jim Kleinsasser,TE,2008,MIN
6,Visanthe Shiancoe,TE,2008,MIN
1,Matt Cassel,QB,2008,NWE
2,Sammy Morris,RB,2008,NWE
3,Randy Moss,WR,2008,NWE
4,Wes Welker,WR,2008,NWE
5,David Thomas,TE,2008,NWE
6,Ben Watson,TE,2008,NWE
1,Drew Brees,QB,2008,NOR
2,Reggie Bush,RB,2008,NOR
3,Mike Karney,FB,2008,NOR
4,Devery Henderson,WR,2008,NOR
5,Lance Moore,WR,2008,NOR
6,Jeremy Shockey,TE,2008,NOR
1,Eli Manning,QB,2008,NYG
2,Brandon Jacobs,RB,2008,NYG
3,Madison Hedgecock,FB,2008,NYG
4,Plaxico Burress,WR,2008,NYG
5,Amani Toomer,WR,2008,NYG
6,Kevin Boss,TE,2008,NYG
1,Brett Favre,QB,2008,NYJ
2,Thomas Jones,RB,2008,NYJ
3,Tony Richardson,FB,2008,NYJ
4,Laveranues Coles,WR,2008,NYJ
5,Jerricho Cotchery,WR,2008,NYJ
6,Chris Baker,TE,2008,NYJ
1,Donovan McNabb,QB,2008,PHI
2,Brian Westbrook,RB,2008,PHI
3,Kevin Curtis,WR,2008,PHI
4,DeSean Jackson,WR,2008,PHI
5,Brent Celek,TE,2008,PHI
6,LJ Smith,TE,2008,PHI
1,Ben Roethlisberger,QB,2008,PIT
2,Willie Parker,RB,2008,PIT
3,Santonio Holmes,WR,2008,PIT
4,Hines Ward,WR,2008,PIT
5,Heath Miller,TE,2008,PIT
6,Matt Spaeth,TE,2008,PIT
1,Shaun Hill,QB,2008,SFO
2,Frank Gore,RB,2008,SFO
3,Isaac Bruce,WR,2008,SFO
4,Bryant Johnson,WR,2008,SFO
5,Billy Bajema,TE,2008,SFO
6,Vernon Davis,TE,2008,SFO
1,Seneca Wallace,QB,2008,SEA
2,Julius Jones,RB,2008,SEA
3,Deion Branch,WR,2008,SEA
4,Bobby Engram,WR,2008,SEA
5,Koren Robinson,WR,2008,SEA
6,John Carlson,TE,2008,SEA
1,Jeff Garcia,QB,2008,TAM
2,Earnest Graham,RB,2008,TAM
3,Antonio Bryant,WR,2008,TAM
4,Michael Clayton,WR,2008,TAM
5,John Gilmore,TE,2008,TAM
6,Alex Smith,TE,2008,TAM
1,Kerry Collins,QB,2008,TEN
2,Chris Johnson,RB,2008,TEN
3,Ahmard Hall,FB,2008,TEN
4,Justin Gage,WR,2008,TEN
5,Justin McCareins,WR,2008,TEN
6,Alge Crumpler,TE,2008,TEN
1,Jason Campbell,QB,2008,WAS
2,Clinton Portis,RB,2008,WAS
3,Mike Sellers,FB,2008,WAS
4,Santana Moss,WR,2008,WAS
5,Antwaan Randle El,WR,2008,WAS
6,Chris Cooley,TE,2008,WAS
1,Kurt Warner,QB,2009,ARI
2,Tim Hightower,RB,2009,ARI
3,Anquan Boldin,WR,2009,ARI
4,Larry Fitzgerald,WR,2009,ARI
5,Anthony Becht,TE,2009,ARI
6,Ben Patrick,TE,2009,ARI
1,Matt Ryan,QB,2009,ATL
2,Michael Turner,RB,2009,ATL
3,Michael Jenkins,WR,2009,ATL
4,Roddy White,WR,2009,ATL
5,Tony Gonzalez,TE,2009,ATL
6,Justin Peelle,TE,2009,ATL
1,Joe Flacco,QB,2009,BAL
2,Ray Rice,RB,2009,BAL
3,LeRon McClain,FB,2009,BAL
4,Mark Clayton,WR,2009,BAL
5,Derrick Mason,WR,2009,BAL
6,Todd Heap,TE,2009,BAL
1,Ryan Fitzpatrick,QB,2009,BUF
2,Fred Jackson,RB,2009,BUF
3,Lee Evans,WR,2009,BUF
4,Terrell Owens,WR,2009,BUF
5,Derek Fine,TE,2009,BUF
6,Shawn Nelson,TE,2009,BUF
1,Jake Delhomme,QB,2009,CAR
2,DeAngelo Williams,RB,2009,CAR
3,Muhsin Muhammad,WR,2009,CAR
4,Steve Smith ,WR,2009,CAR
5,Jeff King,TE,2009,CAR
6,Dante Rosario,TE,2009,CAR
1,Jay Cutler,QB,2009,CHI
2,Matt Forte,RB,2009,CHI
3,Jason McKie,FB,2009,CHI
4,Earl Bennett,WR,2009,CHI
5,Devin Hester,WR,2009,CHI
6,Greg Olsen,TE,2009,CHI
1,Carson Palmer,QB,2009,CIN
2,Cedric Benson,RB,2009,CIN
3,Laveranues Coles,WR,2009,CIN
4,Chad Johnson,WR,2009,CIN
5,Daniel Coats,TE,2009,CIN
6,JP Foschi,TE,2009,CIN
1,Brady Quinn,QB,2009,CLE
2,Jamal Lewis,RB,2009,CLE
3,Lawrence Vickers,FB,2009,CLE
4,Josh Cribbs,WR,2009,CLE
5,Mohamed Massaquoi,WR,2009,CLE
6,Robert Royal,TE,2009,CLE
1,Tony Romo,QB,2009,DAL
2,Marion Barber III,RB,2009,DAL
3,Deon Anderson,FB,2009,DAL
4,Miles Austin,WR,2009,DAL
5,Roy Williams,WR,2009,DAL
6,Jason Witten,TE,2009,DAL
1,Kyle Orton,QB,2009,DEN
2,Knowshon Moreno,RB,2009,DEN
3,Brandon Marshall,WR,2009,DEN
4,Eddie Royal,WR,2009,DEN
5,Daniel Graham,TE,2009,DEN
6,Tony Scheffler,TE,2009,DEN
1,Matthew Stafford,QB,2009,DET
2,Kevin Smith,RB,2009,DET
3,Bryant Johnson,WR,2009,DET
4,Calvin Johnson,WR,2009,DET
5,Will Heller,TE,2009,DET
6,Brandon Pettigrew,TE,2009,DET
1,Aaron Rodgers,QB,2009,GNB
2,Ryan Grant,RB,2009,GNB
3,Donald Driver,WR,2009,GNB
4,Greg Jennings,WR,2009,GNB
5,Jermichael Finley,TE,2009,GNB
6,Donald Lee,TE,2009,GNB
1,Peyton Manning,QB,2009,IND
2,Joseph Addai,RB,2009,IND
3,Pierre Garcon,WR,2009,IND
4,Reggie Wayne,WR,2009,IND
5,Dallas Clark,TE,2009,IND
6,Gijon Robinson,TE,2009,IND
1,David Garrard,QB,2009,JAX
2,Maurice JonesDrew,RB,2009,JAX
3,Torry Holt,WR,2009,JAX
4,Mike SimsWalker,WR,2009,JAX
5,Marcedes Lewis,TE,2009,JAX
6,Ernest Wilford,TE,2009,JAX
1,Matt Cassel,QB,2009,KAN
2,Jamaal Charles,RB,2009,KAN
3,Mike Cox,FB,2009,KAN
4,Dwayne Bowe,WR,2009,KAN
5,Chris Chambers,WR,2009,KAN
6,Leonard Pope,TE,2009,KAN
1,JaMarcus Russell,QB,2009,LVR
2,Michael Bush,RB,2009,LVR
3,Darrius HeywardBey,WR,2009,LVR
4,Louis Murphy,WR,2009,LVR
5,Chaz Schilens,WR,2009,LVR
6,Zach Miller,TE,2009,LVR
1,Philip Rivers,QB,2009,LAC
2,LaDainian Tomlinson,RB,2009,LAC
3,Jacob Hester,FB,2009,LAC
4,Malcom Floyd,WR,2009,LAC
5,Vincent Jackson,WR,2009,LAC
6,Antonio Gates,TE,2009,LAC
1,Marc Bulger,QB,2009,LAR
2,Steven Jackson,RB,2009,LAR
3,Mike Karney,FB,2009,LAR
4,Donnie Avery,WR,2009,LAR
5,Keenan Burton,WR,2009,LAR
6,Randy McMichael,TE,2009,LAR
1,Chad Henne,QB,2009,MIA
2,Ronnie Brown,RB,2009,MIA
3,Lousaka Polite,FB,2009,MIA
4,Greg Camarillo,WR,2009,MIA
5,Ted Ginn ,WR,2009,MIA
6,Anthony Fasano,TE,2009,MIA
1,Brett Favre,QB,2009,MIN
2,Adrian Peterson,RB,2009,MIN
3,Bernard Berrian,WR,2009,MIN
4,Sidney Rice,WR,2009,MIN
5,Jim Kleinsasser,TE,2009,MIN
6,Visanthe Shiancoe,TE,2009,MIN
1,Tom Brady,QB,2009,NWE
2,Kevin Faulk,RB,2009,NWE
3,Julian Edelman,WR,2009,NWE
4,Randy Moss,WR,2009,NWE
5,Wes Welker,WR,2009,NWE
6,Ben Watson,TE,2009,NWE
1,Drew Brees,QB,2009,NOR
2,Reggie Bush,RB,2009,NOR
3,Marques Colston,WR,2009,NOR
4,Devery Henderson,WR,2009,NOR
5,Jeremy Shockey,TE,2009,NOR
6,David Thomas,TE,2009,NOR
1,Eli Manning,QB,2009,NYG
2,Brandon Jacobs,RB,2009,NYG
3,Madison Hedgecock,FB,2009,NYG
4,Mario Manningham,WR,2009,NYG
5,Steve Smith,WR,2009,NYG
6,Kevin Boss,TE,2009,NYG
1,Mark Sanchez,QB,2009,NYJ
2,Thomas Jones,RB,2009,NYJ
3,Tony Richardson,FB,2009,NYJ
4,Jerricho Cotchery,WR,2009,NYJ
5,Braylon Edwards,WR,2009,NYJ
6,Dustin Keller,TE,2009,NYJ
1,Donovan McNabb,QB,2009,PHI
2,Brian Westbrook,RB,2009,PHI
3,Jason Avant,WR,2009,PHI
4,DeSean Jackson,WR,2009,PHI
5,Jeremy Maclin,WR,2009,PHI
6,Brent Celek,TE,2009,PHI
1,Ben Roethlisberger,QB,2009,PIT
2,Rashard Mendenhall,RB,2009,PIT
3,Santonio Holmes,WR,2009,PIT
4,Hines Ward,WR,2009,PIT
5,Heath Miller,TE,2009,PIT
6,Matt Spaeth,TE,2009,PIT
1,Alex Smith,QB,2009,SFO
2,Frank Gore,RB,2009,SFO
3,Delanie Walker,FB,2009,SFO
4,Michael Crabtree,WR,2009,SFO
5,Josh Morgan,WR,2009,SFO
6,Vernon Davis,TE,2009,SFO
1,Matt Hasselbeck,QB,2009,SEA
2,Julius Jones,RB,2009,SEA
3,Justin Griffith,FB,2009,SEA
4,Nate Burleson,WR,2009,SEA
5,TJ Houshmandzadeh,WR,2009,SEA
6,John Carlson,TE,2009,SEA
1,Josh Freeman,QB,2009,TAM
2,Cadillac Williams,RB,2009,TAM
3,Antonio Bryant,WR,2009,TAM
4,Michael Clayton,WR,2009,TAM
5,Jerramy Stevens,TE,2009,TAM
6,Kellen Winslow,TE,2009,TAM
1,Vince Young,QB,2009,TEN
2,Chris Johnson,RB,2009,TEN
3,Justin Gage,WR,2009,TEN
4,Nate Washington,WR,2009,TEN
5,Alge Crumpler,TE,2009,TEN
6,Bo Scaife,TE,2009,TEN
1,Jason Campbell,QB,2009,WAS
2,Clinton Portis,RB,2009,WAS
3,Malcolm Kelly,WR,2009,WAS
4,Santana Moss,WR,2009,WAS
5,Devin Thomas,WR,2009,WAS
6,Fred Davis,TE,2009,WAS
1,Derek Anderson,QB,2010,ARI
2,Tim Hightower,RB,2010,ARI
3,Steve Breaston,WR,2010,ARI
4,Larry Fitzgerald,WR,2010,ARI
5,Ben Patrick,TE,2010,ARI
6,Stephen Spach,TE,2010,ARI
1,Matt Ryan,QB,2010,ATL
2,Michael Turner,RB,2010,ATL
3,Michael Jenkins,WR,2010,ATL
4,Roddy White,WR,2010,ATL
5,Tony Gonzalez,TE,2010,ATL
6,Justin Peelle,TE,2010,ATL
1,Joe Flacco,QB,2010,BAL
2,Ray Rice,RB,2010,BAL
3,LeRon McClain,FB,2010,BAL
4,Anquan Boldin,WR,2010,BAL
5,Derrick Mason,WR,2010,BAL
6,Todd Heap,TE,2010,BAL
1,Ryan Fitzpatrick,QB,2010,BUF
2,Fred Jackson,RB,2010,BUF
3,Corey McIntyre,FB,2010,BUF
4,Lee Evans,WR,2010,BUF
5,Steve Johnson,WR,2010,BUF
6,David Martin,TE,2010,BUF
1,Jimmy Clausen,QB,2010,CAR
2,Jonathan Stewart,RB,2010,CAR
3,Tony Fiammetta,FB,2010,CAR
4,David Gettis,WR,2010,CAR
5,Steve Smith ,WR,2010,CAR
6,Jeff King,TE,2010,CAR
1,Jay Cutler,QB,2010,CHI
2,Matt Forte,RB,2010,CHI
3,Devin Hester,WR,2010,CHI
4,Johnny Knox,WR,2010,CHI
5,Brandon Manumaleuna,TE,2010,CHI
6,Greg Olsen,TE,2010,CHI
1,Carson Palmer,QB,2010,CIN
2,Cedric Benson,RB,2010,CIN
3,Chad Johnson,WR,2010,CIN
4,Terrell Owens,WR,2010,CIN
5,Jermaine Gresham,TE,2010,CIN
6,Reggie Kelly,TE,2010,CIN
1,Colt McCoy,QB,2010,CLE
2,Peyton Hillis,RB,2010,CLE
3,Josh Cribbs,WR,2010,CLE
4,Mohamed Massaquoi,WR,2010,CLE
5,Brian Robiskie,WR,2010,CLE
6,Ben Watson,TE,2010,CLE
1,Jon Kitna,QB,2010,DAL
2,Marion Barber III,RB,2010,DAL
3,Miles Austin,WR,2010,DAL
4,Roy Williams,WR,2010,DAL
5,Martellus Bennett,TE,2010,DAL
6,Jason Witten,TE,2010,DAL
1,Kyle Orton,QB,2010,DEN
2,Knowshon Moreno,RB,2010,DEN
3,Jabar Gaffney,WR,2010,DEN
4,Brandon Lloyd,WR,2010,DEN
5,Eddie Royal,WR,2010,DEN
6,Daniel Graham,TE,2010,DEN
1,Shaun Hill,QB,2010,DET
2,Jahvid Best,RB,2010,DET
3,Maurice Morris,RB,2010,DET
4,Nate Burleson,WR,2010,DET
5,Calvin Johnson,WR,2010,DET
6,Brandon Pettigrew,TE,2010,DET
1,Aaron Rodgers,QB,2010,GNB
2,Brandon Jackson,RB,2010,GNB
3,Korey Hall,FB,2010,GNB
4,Donald Driver,WR,2010,GNB
5,Greg Jennings,WR,2010,GNB
6,Donald Lee,TE,2010,GNB
1,Peyton Manning,QB,2010,IND
2,Donald Brown,RB,2010,IND
3,Pierre Garcon,WR,2010,IND
4,Reggie Wayne,WR,2010,IND
5,Brody Eldridge,TE,2010,IND
6,Jacob Tamme,TE,2010,IND
1,David Garrard,QB,2010,JAX
2,Maurice JonesDrew,RB,2010,JAX
3,Greg Jones,FB,2010,JAX
4,Mike Thomas,WR,2010,JAX
5,Mike SimsWalker,WR,2010,JAX
6,Marcedes Lewis,TE,2010,JAX
1,Matt Cassel,QB,2010,KAN
2,Thomas Jones,RB,2010,KAN
3,Dwayne Bowe,WR,2010,KAN
4,Chris Chambers,WR,2010,KAN
5,Dexter McCluster,WR,2010,KAN
6,Tony Moeaki,TE,2010,KAN
1,Jason Campbell,QB,2010,LVR
2,Darren McFadden,RB,2010,LVR
3,Marcel Reece,FB,2010,LVR
4,Jacoby Ford,WR,2010,LVR
5,Darrius HeywardBey,WR,2010,LVR
6,Zach Miller,TE,2010,LVR
1,Philip Rivers,QB,2010,LAC
2,Ryan Mathews,RB,2010,LAC
3,Malcom Floyd,WR,2010,LAC
4,Legedu Naanee,WR,2010,LAC
5,Antonio Gates,TE,2010,LAC
6,Randy McMichael,TE,2010,LAC
1,Sam Bradford,QB,2010,LAR
2,Steven Jackson,RB,2010,LAR
3,Mike Karney,FB,2010,LAR
4,Brandon Gibson,WR,2010,LAR
5,Laurent Robinson,WR,2010,LAR
6,Billy Bajema,TE,2010,LAR
1,Chad Henne,QB,2010,MIA
2,Ronnie Brown,RB,2010,MIA
3,Lousaka Polite,FB,2010,MIA
4,Brian Hartline,WR,2010,MIA
5,Brandon Marshall,WR,2010,MIA
6,Anthony Fasano,TE,2010,MIA
1,Brett Favre,QB,2010,MIN
2,Adrian Peterson,RB,2010,MIN
3,Naufahu Tahi,FB,2010,MIN
4,Bernard Berrian,WR,2010,MIN
5,Percy Harvin,WR,2010,MIN
6,Visanthe Shiancoe,TE,2010,MIN
1,Tom Brady,QB,2010,NWE
2,BenJarvus GreenEllis,RB,2010,NWE
3,Brandon Tate,WR,2010,NWE
4,Wes Welker,WR,2010,NWE
5,Alge Crumpler,TE,2010,NWE
6,Rob Gronkowski,TE,2010,NWE
1,Drew Brees,QB,2010,NOR
2,Reggie Bush,RB,2010,NOR
3,Marques Colston,WR,2010,NOR
4,Devery Henderson,WR,2010,NOR
5,Jeremy Shockey,TE,2010,NOR
6,David Thomas,TE,2010,NOR
1,Eli Manning,QB,2010,NYG
2,Ahmad Bradshaw,RB,2010,NYG
3,Mario Manningham,WR,2010,NYG
4,Hakeem Nicks,WR,2010,NYG
5,Kevin Boss,TE,2010,NYG
6,Bear Pascoe,TE,2010,NYG
1,Mark Sanchez,QB,2010,NYJ
2,LaDainian Tomlinson,RB,2010,NYJ
3,Tony Richardson,FB,2010,NYJ
4,Braylon Edwards,WR,2010,NYJ
5,Santonio Holmes,WR,2010,NYJ
6,Dustin Keller,TE,2010,NYJ
1,Michael Vick,QB,2010,PHI
2,LeSean McCoy,RB,2010,PHI
3,DeSean Jackson,WR,2010,PHI
4,Jeremy Maclin,WR,2010,PHI
5,Brent Celek,TE,2010,PHI
6,Clay Harbor,TE,2010,PHI
1,Ben Roethlisberger,QB,2010,PIT
2,Rashard Mendenhall,RB,2010,PIT
3,Mike Wallace,WR,2010,PIT
4,Hines Ward,WR,2010,PIT
5,Heath Miller,TE,2010,PIT
6,Matt Spaeth,TE,2010,PIT
1,Alex Smith,QB,2010,SFO
2,Frank Gore,RB,2010,SFO
3,Moran Norris,FB,2010,SFO
4,Michael Crabtree,WR,2010,SFO
5,Josh Morgan,WR,2010,SFO
6,Vernon Davis,TE,2010,SFO
1,Matt Hasselbeck,QB,2010,SEA
2,Marshawn Lynch,RB,2010,SEA
3,Deon Butler,WR,2010,SEA
4,Mike Williams,WR,2010,SEA
5,Chris Baker,TE,2010,SEA
6,John Carlson,TE,2010,SEA
1,Josh Freeman,QB,2010,TAM
2,Cadillac Williams,RB,2010,TAM
3,Arrelious Benn,WR,2010,TAM
4,Mike Williams,WR,2010,TAM
5,John Gilmore,TE,2010,TAM
6,Kellen Winslow,TE,2010,TAM
1,Vince Young,QB,2010,TEN
2,Chris Johnson,RB,2010,TEN
3,Kenny Britt,WR,2010,TEN
4,Nate Washington,WR,2010,TEN
5,Bo Scaife,TE,2010,TEN
6,Craig Stevens,TE,2010,TEN
1,Donovan McNabb,QB,2010,WAS
2,Ryan Torain,RB,2010,WAS
3,Anthony Armstrong,WR,2010,WAS
4,Santana Moss,WR,2010,WAS
5,Chris Cooley,TE,2010,WAS
6,Fred Davis,TE,2010,WAS
1,Kevin Kolb,QB,2011,ARI
2,Beanie Wells,RB,2011,ARI
3,Anthony Sherman,FB,2011,ARI
4,Larry Fitzgerald,WR,2011,ARI
5,Andre Roberts,WR,2011,ARI
6,Jeff King,TE,2011,ARI
1,Matt Ryan,QB,2011,ATL
2,Michael Turner,RB,2011,ATL
3,Ovie Mughelli,FB,2011,ATL
4,Julio Jones,WR,2011,ATL
5,Roddy White,WR,2011,ATL
6,Tony Gonzalez,TE,2011,ATL
1,Joe Flacco,QB,2011,BAL
2,Ray Rice,RB,2011,BAL
3,Vonta Leach,FB,2011,BAL
4,Anquan Boldin,WR,2011,BAL
5,Torrey Smith,WR,2011,BAL
6,Ed Dickson,TE,2011,BAL
1,Ryan Fitzpatrick,QB,2011,BUF
2,Fred Jackson,RB,2011,BUF
